raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
BTN,SB,Nit,82o,1.490344849585196
BTN,SB,Nit,94o,1.5001167316955764
BTN,SB,Nit,65o,1.4869817992485068
BTN,SB,Nit,73o,1.4861145975893606
BTN,SB,Nit,72s,1.4734238416018537
BTN,SB,Nit,63s,1.486283807669194
BTN,SB,Nit,53o,1.5038393534519117
BTN,SB,Nit,32s,1.4867279841287566
BTN,SB,Nit,83o,1.4818843455935247
BTN,SB,Nit,62s,1.4734238416018537
BTN,SB,Nit,42s,1.4734238416018537
BTN,SB,Nit,52s,1.4734238416018537
BTN,SB,Nit,62o,1.4818843455935247
BTN,SB,Nit,72o,1.4818843455935247
BTN,SB,Nit,54o,1.490344849585196
BTN,SB,Nit,63o,1.4864530177490274
BTN,SB,Nit,32o,1.4950404293005735
BTN,SB,Nit,52o,1.4818843455935247
BTN,SB,Nit,42o,1.4818843455935247
BTN,SB,Nit,43o,1.4866856816087983
BTN,SB,TAG,AA,1.5661270996827312
BTN,SB,TAG,KK,1.5155144335691881
BTN,SB,TAG,QQ,1.4897476132550145
BTN,SB,TAG,JJ,1.5247446448175535
BTN,SB,TAG,TT,1.512792442225435
BTN,SB,TAG,99,1.5111960863997753
BTN,SB,TAG,88,1.5298611698997961
BTN,SB,TAG,AKs,1.5275689666629517
BTN,SB,TAG,77,1.491998884291201
BTN,SB,TAG,AKo,1.5111960863997753
BTN,SB,TAG,AJo,1.5111960863997753
BTN,SB,TAG,AQo,1.5111960863997753
BTN,SB,TAG,AQs,1.5111960863997753
BTN,SB,TAG,A9o,1.5475643466843554
BTN,SB,TAG,A7o,1.5111960863997753
BTN,SB,TAG,KJs,1.5275689666629517
BTN,SB,TAG,QJs,1.494823206136599
BTN,SB,TAG,A7s,1.5111960863997753
BTN,SB,TAG,A9s,1.5261158735395945
BTN,SB,TAG,KTo,1.5111960863997753
BTN,SB,TAG,A8o,1.5111960863997753
BTN,SB,TAG,AJs,1.5275689666629517
BTN,SB,TAG,ATs,1.5275689666629517
BTN,SB,TAG,K9s,1.5221249839754456
BTN,SB,TAG,55,1.478450325873423
BTN,SB,TAG,66,1.4972382059754175
BTN,SB,TAG,KQs,1.5111960863997753
BTN,SB,TAG,A8s,1.5275689666629517
BTN,SB,TAG,ATo,1.5111960863997753
BTN,SB,TAG,A5s,1.5357963389951976
BTN,SB,TAG,QTs,1.494823206136599
BTN,SB,TAG,K8s,1.5275689666629517
BTN,SB,TAG,KTs,1.5275689666629517
BTN,SB,TAG,A4s,1.5111960863997753
BTN,SB,TAG,KJo,1.5111960863997753
BTN,SB,TAG,K5s,1.5111960863997753
BTN,SB,TAG,A6s,1.5111960863997753
BTN,SB,TAG,K9o,1.5311300681201923
BTN,SB,TAG,A3s,1.5366149830083564
BTN,SB,TAG,44,1.5111960863997753
BTN,SB,TAG,KQo,1.5111960863997753
BTN,SB,TAG,K7s,1.5111960863997753
BTN,SB,TAG,Q8s,1.494823206136599
BTN,SB,TAG,A5o,1.5356326101925657
BTN,SB,TAG,Q5s,1.478450325873423
BTN,SB,TAG,A4o,1.5275689666629517
BTN,SB,TAG,Q9o,1.5181136283109673
BTN,SB,TAG,QTo,1.478450325873423
BTN,SB,TAG,Q9s,1.4938817655214667
BTN,SB,TAG,A6o,1.5111960863997753
BTN,SB,TAG,A2s,1.5111960863997753
BTN,SB,TAG,JTs,1.5275689666629517
BTN,SB,TAG,K4o,1.5275689666629517
BTN,SB,TAG,K6s,1.5111960863997753
BTN,SB,TAG,K8o,1.5275689666629517
BTN,SB,TAG,K7o,1.5111960863997753
BTN,SB,TAG,J9o,1.5275689666629517
BTN,SB,TAG,J8s,1.5111960863997753
BTN,SB,TAG,JTo,1.5275689666629517
BTN,SB,TAG,K4s,1.5111960863997753
BTN,SB,TAG,K2s,1.5111960863997753
BTN,SB,TAG,K6o,1.5111960863997753
BTN,SB,TAG,J9s,1.523189221192552
BTN,SB,TAG,K3s,1.5371471016169096
BTN,SB,TAG,A3o,1.5366559152090142
BTN,SB,TAG,Q6s,1.478450325873423
BTN,SB,TAG,QJo,1.478450325873423
BTN,SB,TAG,33,1.5352642203866445
BTN,SB,TAG,Q3s,1.5046060020938468
BTN,SB,TAG,J7s,1.494823206136599
BTN,SB,TAG,Q6o,1.478450325873423
BTN,SB,TAG,Q7s,1.478450325873423
BTN,SB,TAG,J5s,1.494823206136599
BTN,SB,TAG,J6s,1.494823206136599
BTN,SB,TAG,T9o,1.5275689666629517
BTN,SB,TAG,Q7o,1.478450325873423
BTN,SB,TAG,A2o,1.5275689666629517
